ccode,y5,region,real_wage,homicide_rate,lifexp,stature,gdppc2011,avedu,polity2,population,co2emis_pc,so2emis_pc,biodiv,gini
4,1800,South and South-East Asia,,,,,,,-6,3280,,,0.9504888,
4,1805,South and South-East Asia,,,,,,,-6,,,,,
4,1810,South and South-East Asia,,,,,,,-6,,,,0.9483744,
4,1815,South and South-East Asia,,,,,,,-6,,,,,
4,1820,South and South-East Asia,,,,,,,-6,3280,,,0.94613223,
4,1825,South and South-East Asia,,,,,,,-6,,,,,
4,1830,South and South-East Asia,,,,,,,-6,,,,0.9431751,
4,1835,South and South-East Asia,,,,,,,-6,,,,,
4,1840,South and South-East Asia,,,,,,,-6,,,,0.93871658,
4,1845,South and South-East Asia,,,,,,,-6,,,,,
4,1850,South and South-East Asia,,,,,,,-6,3750,,,0.93385768,
4,1855,South and South-East Asia,,,,,,,-6,,,,,
4,1860,South and South-East Asia,,,,,,,-6,,,,0.92856222,
4,1865,South and South-East Asia,,,,,,,-6,,,,,
4,1870,South and South-East Asia,,,,168.4,,,-6,4207,,,0.92278193,49.58121
4,1875,South and South-East Asia,,,,,,,-6,,,,,
4,1880,South and South-East Asia,,,,165.69,,,-6,,,,0.91523488,
4,1885,South and South-East Asia,,,,,,,-6,,,,,
4,1890,South and South-East Asia,,,,,,,-6,,,,0.90583369,36.52764
4,1895,South and South-East Asia,,,,,,,-6,,,,,
4,1900,South and South-East Asia,,,,,,,-6,5000,,,0.89531118,
4,1905,South and South-East Asia,,,,,,,-6,,,,,
4,1910,South and South-East Asia,,,,,,,-6,5730,,,0.88352267,42.47902
4,1915,South and South-East Asia,,,,,,,-6,,,,,
4,1920,South and South-East Asia,,,,,,,-6,12000,,,0.86764251,
4,1925,South and South-East Asia,,,,,,,-6,,,,,
4,1930,South and South-East Asia,,,,166.8,,,-6,7000,,,0.85086431,
4,1935,South and South-East Asia,,,,,,,-8,,,,,
4,1940,South and South-East Asia,,,,,,,-8,7000,,,0.83311824,
4,1945,South and South-East Asia,,,,,,,-10,,,,,
4,1950,South and South-East Asia,,,27.706,,2392,0.2205,-10,8150.368,0.002821582,,0.81432993,
4,1955,South and South-East Asia,,,30.284,,2579,,-10,,,,,
4,1960,South and South-East Asia,,,32.862,,2744,0.31028929,-10,9829.45,0.01366201,,0.7742272,
4,1965,South and South-East Asia,,,35.419,,2670,,-7,,,,,
4,1970,South and South-East Asia,,,37.861,,2632,0.617,-7,12430.62,0.03817655,,0.77081287,
4,1975,South and South-East Asia,,,40.11,,2225,,-7,,,,,
4,1980,South and South-East Asia,,,42.617,,2108,1.091996,,15112.15,0.03355851,,0.77024868,
4,1985,South and South-East Asia,,,46.441,,2700,,,,,,,
4,1990,South and South-East Asia,,,50.659,,1992,1.6035,-8,14669.34,0.05667541,,0.77033536,
4,1995,South and South-East Asia,,,53.809,,1101,,0,,,,,
4,2000,South and South-East Asia,,3.4,55.818,,735,2.507,-7,23898.2,0.01022604,,0.77327588,
4,2005,South and South-East Asia,,2.4,58.37,,1187,,,,,,,
4,2010,South and South-East Asia,,,,,1685,3.81330819,,,0.008170043,,0.77126592,
4,2015,South and South-East Asia,,,,,1928,,,,,,,
8,1800,East. Europe and form. SU,,,,,,,,400,,,0.92143929,
8,1805,East. Europe and form. SU,,,,,,,,,,,,
8,1810,East. Europe and form. SU,,,,,,,,,,,0.9205621,
8,1815,East. Europe and form. SU,,,,,,,,,,,,
8,1820,East. Europe and form. SU,,,,,,,,437,,,0.91978156,
8,1825,East. Europe and form. SU,,,,,,,,,,,,
8,1830,East. Europe and form. SU,,,,,,,,,,,0.91981089,
8,1835,East. Europe and form. SU,,,,,,,,,,,,
8,1840,East. Europe and form. SU,,,,,,,,,,,0.91648117,
8,1845,East. Europe and form. SU,,,,,,,,,,,,
8,1850,East. Europe and form. SU,,,,,,,,500,,0.0004315914,0.91309975,
8,1855,East. Europe and form. SU,,,,,,,,,,,,
8,1860,East. Europe and form. SU,,,,,,,,,,0.0004625459,0.90604496,
8,1865,East. Europe and form. SU,,,,,,,,,,,,
8,1870,East. Europe and form. SU,,,,,795,,,603,,0.0004787319,0.89942944,41.2354
8,1875,East. Europe and form. SU,,,,,,,,,,,,
8,1880,East. Europe and form. SU,,,,170.1,,,,,,0.0004795731,0.89163956,
8,1885,East. Europe and form. SU,,,,,,,,,,,,
8,1890,East. Europe and form. SU,,,,169.8,1065,,,726,,0.0004507905,0.88442907,28.36242
8,1895,East. Europe and form. SU,,,,,,,,,,,,
8,1900,East. Europe and form. SU,,,,169.2,1221,,,800,,0.0004700823,0.87591731,
8,1905,East. Europe and form. SU,,,,,,,,,,,,
8,1910,East. Europe and form. SU,,,,,1390,,,874,,0.000450108,0.86812343,27.70537
8,1915,East. Europe and form. SU,,,,,,,0,,,,,
8,1920,East. Europe and form. SU,,,,,,,0,932,,0.0004170011,0.86358033,
8,1925,East. Europe and form. SU,,,,,,,-9,,,,,
8,1930,East. Europe and form. SU,,,,,,,-9,982,,0.0005059691,0.86251001,
8,1935,East. Europe and form. SU,,,,,,,-9,,,,,
8,1940,East. Europe and form. SU,,,,,,,0,1088,0.1779671,0.003474877,0.85520598,
8,1945,East. Europe and form. SU,,,,,,,-5,,,,,
8,1950,East. Europe and form. SU,,,55.262,,1784,,-9,1227.156,0.06666656,0.002740982,0.84127868,
8,1955,East. Europe and form. SU,,,59.317,,2104,,-9,,,,,
8,1960,East. Europe and form. SU,,,64.861,,2585,,-9,1623.114,0.342116,0.01294208,0.79950116,
8,1965,East. Europe and form. SU,,,66.25,,2985,,-9,,,,,
8,1970,East. Europe and form. SU,,,67.707,,3570,,-9,2156.612,0.468721,0.02184474,0.78194959,
8,1975,East. Europe and form. SU,,,69.709,,4079,,-9,,,,,
8,1980,East. Europe and form. SU,,,70.623,,4182,,-9,2671.412,0.4933927,0.0309974,0.77827622,
8,1985,East. Europe and form. SU,,1.72,71.99,,4299,,-9,,,,,
8,1990,East. Europe and form. SU,,4.53333333333333,71.689,,4454,,1,3250.778,0.6031343,0.02835359,0.77642056,
8,1995,East. Europe and form. SU,,18.364,72.948,,3992,,5,,,,,
8,2000,East. Europe and form. SU,,5.732,75.404,,5097,,5,3473.835,0.1903796,0.004389581,0.77432348,28.64454
8,2005,East. Europe and form. SU,,3.1,76.281,,7080,,9,,,,,
8,2010,East. Europe and form. SU,,4,,,9272,,9,,0.2046012,,0.76762978,
8,2015,East. Europe and form. SU,,,,,10032,,,,,,,
12,1800,MENA,,,,,,,,2500,,,0.98373635,
12,1805,MENA,,,,,,,,,,,,
12,1810,MENA,,,,,,,,,,,0.98320794,
12,1815,MENA,,,,,,,,,,,,
12,1820,MENA,,,,,,,,2689,,,0.9826788,
12,1825,MENA,,,,,,,,,,,,
12,1830,MENA,,,,,,,,,,,0.97964228,
12,1835,MENA,,,,,,,,,,,,
12,1840,MENA,,,,,,,,,,,0.97659712,
12,1845,MENA,,,,,,,,,,,,
12,1850,MENA,,,,,,,,2838.453,,1e-04,0.97354284,
12,1855,MENA,,,,,,,,,,,,
12,1860,MENA,,,,,,,,3138.555,,1e-04,0.97047948,
12,1865,MENA,,,,,,,,,,,,
12,1870,MENA,,,,,,0.4,,3470.386,,1e-04,0.96740641,
12,1875,MENA,,,,,,,,,,,,
12,1880,MENA,,,,,,0.44,,3837.3,,0.0001000003,0.96432376,
12,1885,MENA,,,,,,,,,,,,
12,1890,MENA,,,,,,0.48,,4243.008,,0.0001000018,0.96123163,
12,1895,MENA,,,,,,,,,,,,
12,1900,MENA,,,,,,0.5,,4675.311,,0.0001000394,0.95813275,
12,1905,MENA,,,,,,,,,,,,
12,1910,MENA,,,,168.8,,0.62,,5495.166,,0.0001862447,0.95502133,36.46704
12,1915,MENA,,,,,,,,,,,,
12,1920,MENA,,,28.8224,166.241,,0.72,,5779.437,0.0008159254,0.000239619,0.95190102,
12,1925,MENA,,,,,,,,,,,,
12,1930,MENA,,,31.22,169,,0.79,,6452.568,0.002941148,0.0003781698,0.94878085,40.31699
12,1935,MENA,,,,,,,,,,,,
12,1940,MENA,,,33.72,,,0.87,,7689.043,0.00784405,0.0001927538,0.9456354,
12,1945,MENA,,,,,,,,,,,,
12,1950,MENA,,,42.886,,,1.06,,8925.443,0.1180167,0.001644545,0.94245923,
12,1955,MENA,15.61149184,,44.999,,,,,,,,,
12,1960,MENA,,,47.284,,,1.23,,10784,0.1556482,0.003161866,0.92887686,
12,1965,MENA,18.51413846,,49.464,,,,-9,,,,,
12,1970,MENA,29.68854957,,51.483,,8179,1.76,-9,13931.85,0.2990648,0.008309782,0.9308274,
12,1975,MENA,21.1376420433333,,54.934,,9171,,-9,,,,,
12,1980,MENA,,,61.581,,11462,3.24,-9,18806.06,0.9588436,0.007757017,0.92999121,
12,1985,MENA,27.619684472,,65.868,,12477,,-9,,,,,
12,1990,MENA,32.8312316466667,,67.237,,10716,5.02,-2,25089,0.8311278,0.005465757,0.93615832,41.28925
12,1995,MENA,,,68.464,,9639,,-3,,,,,
12,2000,MENA,,9.6,69.403,,10528,6.45,-3,30429,1.044547,0.006020337,0.93323903,
12,2005,MENA,,4.25,70.261,,12619,,2,,,,,
12,2010,MENA,,,,,13092,7.3,2,,1.001606,,0.93084143,
12,2015,MENA,,,,,14004,,,,,,,
20,1800,W. Europe,,,,,,,,2.654,,,0.92111004,
20,1805,W. Europe,,,,,,,,,,,,
20,1810,W. Europe,,,,,,,,,,,0.91975532,
20,1815,W. Europe,,,,,,,,,,,,
20,1820,W. Europe,,,,,,,,2.654,,,0.91839904,
20,1825,W. Europe,,,,,,,,,,,,
20,1830,W. Europe,,,,,,,,,,,0.91704679,
20,1835,W. Europe,,,,,,,,,,,,
20,1840,W. Europe,,,,,,,,,,,0.91570595,
20,1845,W. Europe,,,,,,,,,,,,
20,1850,W. Europe,,,,,,,,,,,0.91438543,
20,1855,W. Europe,,,,,,,,,,,,
20,1860,W. Europe,,,,,,,,,,,0.91309712,
20,1865,W. Europe,,,,,,,,,,,,
20,1870,W. Europe,,,,,,,,,,,0.91185572,
20,1875,W. Europe,,,,,,,,,,,,
20,1880,W. Europe,,,,,,,,,,,0.91068115,
20,1885,W. Europe,,,,,,,,,,,,
20,1890,W. Europe,,,,,,,,,,,0.90959996,
20,1895,W. Europe,,,,,,,,,,,,
20,1900,W. Europe,,,,,,,,,,,0.90864895,
20,1905,W. Europe,,,,,,,,,,,,
20,1910,W. Europe,,,,,,,,5,,,0.907882,
20,1915,W. Europe,,,,,,,,,,,,
20,1920,W. Europe,,,,,,,,6,,,0.90738168,
20,1925,W. Europe,,,,,,,,,,,,
20,1930,W. Europe,,,,,,,,5,,,0.90728694,
20,1935,W. Europe,,,,,,,,,,,,
